Title,genres,vote_average,Release Year,keywords,Plot
GoldenEye,"['Adventure', 'Action', 'Thriller']",6.6,1995,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']","In 1986, at Arkhangelsk, MI6 agents James Bond and Alec Trevelyan infiltrate a Soviet chemical weapons facility and plant explosives. Trevelyan is captured and executed by Colonel Arkady Grigorovich Ourumov, but Bond flees as the facility explodes.
Nine years later, in Monte Carlo, Bond follows Xenia Onatopp, a member of the Janus crime syndicate, who has formed a suspicious relationship with Charles Farrel, a Canadian Navy admiral. As Onatopp crushes the admiral to death with her thighs during sex, his credentials are stolen by Ourumov, who uses them to board a French Navy destroyer with Onatopp to steal a Eurocopter Tiger helicopter. Ourumov and Onatopp later fly the helicopter to a bunker in Severnaya, Siberia, where they massacre the staff and steal the control disk for the GoldenEye satellites, two Soviet electromagnetic weapon satellites from the Cold War. They program the first GoldenEye (Petya) to destroy the complex, and escape with programmer Boris Grishenko. Natalya Simonova, the lone survivor, contacts Boris and arranges to meet him in Saint Petersburg, where he betrays her to Janus.
In London, M assigns Bond to investigate the attack. He flies to Saint Petersburg to meet CIA operative Jack Wade, who suggests that Bond meet with Valentin Zukovsky, a former KGB agent and business rival of Janus. Zukovsky arranges a meeting between Bond and Janus. Onatopp surprises Bond at the Grand Hotel Europe and attempts to kill him, but he overpowers her. She takes Bond to Janus, who reveals himself as Trevelyan; he faked his death at Arkhangelsk but was badly scarred by the explosion. A descendant of the Cossack clans who collaborated with the Nazi forces in the Second World War, Trevelyan had vowed revenge against the British after they betrayed the Cossacks, which drove his father to kill Trevelyan's mother and himself. Just as Bond is about to shoot Trevelyan, Bond is shot with a tranquilizer dart.
Bond awakens, tied up with Natalya in the helicopter, which has been programmed to self-destruct. They escape but are captured and transported to the Russian military archives, where Minister of Defence Dimitri Mishkin interrogates them. Just as Natalya reveals the existence of a second satellite and Ourumov's involvement in the Siberian massacre, Ourumov arrives and kills Mishkin. Intending to frame Bond for the murder, he calls the guards, but Bond and Natalya escape. In the ensuing firefight, Natalya is captured. Bond steals a tank and pursues Ourumov through St. Petersburg to Trevelyan's train, where he kills Ourumov. Trevelyan escapes and locks Bond in the train with Natalya, setting it to self-destruct. As Bond cuts through the floor with his laser watch, Natalya triangulates Grishenko's satellite dish to Cuba. The two escape just before the train explodes.
Bond and Natalya meet Wade in the Florida Keys and borrow his plane for the trip to Cuba, where the same night, they make love. The next day, while searching for GoldenEye's satellite dish, they are shot down. Onatopp rappels down from a helicopter and attacks Bond. After a fight ensues, Bond shoots down the helicopter, which snares Onatopp and crushes her to death against a tree. Bond and Natalya watch water draining out of a lake, uncovering the satellite dish. They infiltrate the control station, and Bond is captured. Trevelyan reveals his plan to rob the Bank of England before erasing all of its financial records with the second GoldenEye (Misha), concealing the theft and destroying Britain's economy.
Natalya programs the satellite to initiate atmospheric re-entry and destroy itself. As Trevelyan captures Natalya and orders Grishenko to save the satellite, Grishenko unwittingly triggers an explosion with Bond's pen grenade (received earlier from Q), which allows Bond to escape to the antenna cradle. Bond sabotages the antenna, preventing Grishenko from regaining control of the satellite. Bond and Trevelyan fight on the antenna's suspended platform, which finishes with Bond holding a dangling Trevelyan by his foot. Bond releases Trevelyan, who plummets into the dish. Seconds later the cradle explodes, killing Trevelyan and Grishenko. Natalya commandeers a helicopter and rescues Bond. It drops them in a field, where the couple are rescued by Wade and a team of Marines."
Friday,['Comedy'],7.0,1995,"['rap music', 'parent child relationship', 'rapper', 'job']","Craig Jones, a young man living in South Central Los Angeles, has just lost his job after being framed for stealing on his day off. Not having any plans, he hangs out on his front porch with his best friend, Smokey, a carefree, mischievous drug dealer who sells weed for Big Worm, the psychopathic neighborhood supplier.
Throughout the day, Craig and Smokey observe the goings-on in their neighborhood. They encounter Ezail, who supports his drug habit with petty crime; Debbie, an attractive girl Craig has an interest in; Craig's neighbor, Stanley, whose wealth-like supercilious attitude bemuses Craig; Red, Craig's former co-worker and childhood friend whose bike and necklace have been forcibly taken by Deebo, the neighborhood bully and also enlists Smokey's aid in a burglary of Stanley's house; Pastor Clevor, the neighborhood pastor, who is caught sleeping with Mrs. Parker by her husband Mr. Parker; and Felisha, Debbie's sister and Deebo's girlfriend, who irritates everyone in the neighborhood with her constant begging.
Smokey, who has been smoking rather than selling his consignment of marijuana, has a confrontation with Big Worm. In an attempt to explain his money shortage, Smokey incriminates Craig. Big Worm threatens to kill them both if they do not give him $200 by 10:00 P.M. Craig angrily confronts Smokey about his lack of initiative in selling the marijuana before deciding to help Smokey. Craig unsuccessfully attempts to borrow money from his mother Betty; his sister, Dana; and his insanely jealous girlfriend, Joi. Craig's father, Willie, eventually learns of Craig's plan, as well as the fact that Craig is carrying a gun. Willie talks to him, explaining that Craig should use his fists, instead of guns, to resolve his problems, all the while telling Craig the story of how his uncle, who was Willie's brother, lost his life due to gun violence.
Later on, while Craig and Smokey discuss their dilemma, they are interrupted by the arrival of Rita, a girl whom Debbie set Smokey up with earlier. Smokey then discovers she lied about her looks. Instead of resembling Janet Jackson as she originally claimed, Rita is obese and bald and, in Smokey's words: ""looking more like Freddie Jackson.""
Smokey heads to Debbie's house to complain and notices Red's bike on the lawn. He sneaks in and finds Deebo asleep with Felisha. Smokey tries to reclaim the money that he and Deebo stole from Stanley earlier, but is interrupted by Ezail. Both escape without the money before Deebo wakes up. Smokey returns to Craig's house to tell him, and Craig agrees to go back with Smokey to try again, but at that moment, Deebo rides past them. The two notice a black car driving slowly and hide, suspecting a possible drive-by shooting. Scared, they run to Craig's room. Then, after Willie confronts them with the situation with Big Worm, and with 10:00 approaching, they decide step out. Once outside, they notice the van parked in the street with its headlights off. The two flee as men in the van start shooting at them.
The neighbors emerge from their homes upon hearing the gunshots. Debbie then confronts Deebo for assaulting Felisha after Deebo falsely accuses Felisha of Smokey's attempted theft. Deebo eventually assaults Debbie, as Craig and Smokey arrive.
Angered that Deebo has struck Debbie, Craig stands up to him, and threatens him with his gun. Deebo scoffs at the threat and Willie encourages Craig to put down the weapon and fight with his hands. Craig and Deebo fight. After nearly losing, Craig emerges victorious by using various objects as weapons. As Debbie tends to Craig, Smokey steals the money from an unconscious Deebo and flees the scene. Red punches Deebo again to ensure he doesn't wake up and retrieves his chain and bicycle while Ezail steals Deebo's shoes. Craig and Debbie agree to meet up the following day and Craig breaks up with Joi over the phone.
Later, Smokey settles with Big Worm, and ends the feud. He announces that he is giving up drug dealing and going to drug rehabilitation. After hanging up, Smokey looks up, lights a joint and ends the film, saying to the audience, ""I was just bullshittin'! And you know this, man!"""
From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",6.9,1996,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']","Fugitive bank robbers Seth and Richie Gecko hold up and destroy a liquor store, killing the clerk and a Texas ranger. At the motel room where they are hiding out, Seth returns to find Richie has raped and murdered a bank clerk they had taken hostage.
Jacob Fuller, a pastor experiencing a crisis of faith, is on vacation with his teenage children Scott and Kate in their RV. They stop at the motel and are kidnapped by the Geckos, who force the Fullers to smuggle them over the Mexican border. In Mexico, they arrive at the Titty Twister, a strip club in the desert, where the Geckos will be met by their contact, Carlos, at dawn. Carlos will escort them to sanctuary at ""El Rey,"" a place of safety for fugitives from justice whose admission fee is 30 percent of everything they have.
The bar employees reveal themselves as vampires and kill most of the patrons. Richie is bitten by a stripper and dies; only Seth, Jacob, Kate, Scott, a biker named Sex Machine, and Frost, a Vietnam veteran, survive. The others are reborn as vampires, including Richie, forcing the survivors to kill them all. When an army of vampires assembles outside, the survivors lock themselves in, but Sex Machine is bitten, becomes a vampire, and bites Frost and Jacob. Frost throws Sex Machine through the door, allowing the vampires to enter.
Seth and the Fullers escape to a storeroom and fashion weapons from truck cargo the vampires have looted from past victims, including a stake mounted on a pneumatic drill, a crossbow, a shotgun, and holy water, which requires Jacob to recover his faith to bless. Jacob, knowing he will soon become a vampire, makes Scott and Kate promise to kill him when he changes.
The group make their final assault on the undead. Jacob becomes a vampire, but Scott hesitates to kill him, allowing Jacob to bite him. Scott hits Jacob with holy water and shoots him. Scott is overwhelmed by vampires, who begin to devour him; he begs for death, and Kate shoots him. As vampires surround Kate and Seth, streams of morning light enter through bullet holes in the building, making the vampires back away. Carlos's bodyguards blast the door open, letting in the sunlight and killing the vampires.
Seth chastises Carlos for his poor choice of meeting place and negotiates a smaller tribute for his admission to El Rey. Kate asks Seth if she can go with him to El Rey, but he refuses, leaving her with some cash. Kate drives away in the RV, leaving the Titty Twister — in fact the top of a partially buried Aztec temple — behind."
Blue in the Face,['Comedy'],6.8,1995,"['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']","The film once again centers on the Brooklyn Cigar Store and manager Auggie (Harvey Keitel), although most of the other characters are different. The store owner's frustrated wife Dot (Roseanne) is one of them, and one of the plotlines follows her attempts to seduce Auggie. Madonna, Michael J. Fox, Lily Tomlin, and Lou Reed (as himself) also put in appearances. Blue In The Face was shot without a complete script and presents a unique combination of distinctive performances, oddball characters, improvisations, and raffish scenes."
Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",5.2,1995,"['based on tv series', 'tokusatsu', 'superhero team', 'ethnic diversity', 'super sentai', 'power rangers', 'mighty morphin power rangers', 'mmpr']","The Power Rangers participate with Bulk and Skull in a charity skydive for the Angel Grove observatory, in anticipation of Ryan's Comet which is scheduled to pass by in two days.
Bulk and Skull miss the target landing zone and accidentally land on a construction site where a giant egg has been unearthed. Lord Zedd, Rita Repulsa, Goldar, and Mordant arrive at the construction site and crack open the egg, releasing Ivan Ooze after 6,000 years, a morphological being who ruled Earth with an iron fist before he was overthrown by Zordon and a group of young warriors. Ivan lays siege to the Rangers' Command Center and incapacitates Zordon, robbing the Rangers of their powers. As the Rangers return to the Command Center, they find it destroyed and Zordon dying.
Zordon's assistant Alpha 5 sends the Rangers to the distant planet Phaedos to obtain the Great Power and save Zordon. On the Moon, Ivan usurps Rita and Zedd, trapping them in a snow globe, then sends his Tengu warriors to Phaedos and begins building an army. He uses children to bring his ooze to their parents, and it hypnotizes them into becoming his workforce to dig up his Ecto-Morphicon Titans, twin war machines built during his reign. When Fred Kelman, a friend of the Rangers', discovers his father missing, he finds him working at the construction site and discovers Ivan's plans.
On Phaedos, the Rangers are almost killed by the Tengu, but are rescued by Dulcea, Phaedos' Master Warrior. She initially tells them to leave for their own safety, but after hearing of Zordon's plight, she agrees to help them and takes them to an ancient ruined temple where the Rangers will have to overcome obstacles to acquire the power of the Ninjetti. Dulcea awakens each Rangers' animal spirit: Aisha is the bear, Rocky is the ape, Billy is the wolf, Kimberly is the crane, Adam is the frog and Tommy is the falcon. The Rangers make their way to the Monolith housing the Great Power, defeating its guardians, and retrieve the Great Power.
On Earth, Ivan's Ecto-Morphicons are completely unearthed, and he unleashes them on Angel Grove, ordering the parents to commit suicide at the construction site. Fred, Bulk, Skull and the other kids head to the construction site to save their parents. The Rangers return with their new animal-themed Ninja Zords and destroy one of Ivan's Ecto-Morphicons. Ivan takes control of the other and battles the Rangers himself. The Rangers lead Ivan into space right into the path of Ryan's Comet, which destroys him. His destruction breaks the hypnosis and the parents are reunited with their children. The Rangers then use the Great Power to restore the Command Center and resurrect Zordon.
In a mid-credits scene, Goldar briefly lounges in Zedd's throne being served by Mordant only to panic when Zedd and Rita appear having been released after Ivan was destroyed."
Clerks,['Comedy'],7.4,1994,"['salesclerk', 'loser', 'aftercreditsstinger']","Dante Hicks, a 22-year-old retail clerk at the Quick Stop convenience store in Leonardo, New Jersey, is called into work on his day off by his boss to cover a few hours for another employee who is sick. Arriving at the store, he finds that the locks to the security shutters are jammed closed with chewing gum, so he hangs a sheet over them with a message written in shoe polish: ""I ASSURE YOU; WE'RE OPEN.""
Dante's day is spent in the hell of serving a succession of customers while repeating the fact that he is ""not even supposed to be here today"". Stressed with the demands of his job, Dante passes time in wide-ranging conversations with his best friend, Randal Graves. Randal is an irresponsible slacker who works in the next-door video store, RST Video, although he spends most of the day at the Quick Stop, neglecting the video store's customers. They converse about many things to pass time, such as whether or not the contractors working on the second Death Star when it was destroyed at the end of Return of the Jedi were innocent victims. Other events of the day include the discovery that Dante's high school girlfriend, Caitlin Bree, with whom he has been having early morning phone conversations, is engaged to be married. Dante's current girlfriend, Veronica Loughran, also stops in to bring him homemade lasagna. The two talk about Dante's stuck-in-a-rut lifestyle with no motivation to change before having an argument about her past sexual partners.
Learning that he is stuck working the store all day, as his boss went to Vermont, Dante convinces his friends to play hockey on the store roof, though the game is cut short; twelve minutes in, an enraged customer shoots their only ball off the roof and into a sewer. Reopening the store, Dante finds another of his ex-girlfriends has died and her wake is today. Randal talks him into closing the store again and going to the wake. The visit is catastrophic, with Randal and Dante running out to escape in their car. What happened inside the funeral home is not shown, but a subsequent conversation between the two reveals that Randal accidentally knocked over the casket by leaning on it.
That night, Caitlin surprises Dante with a visit. After she assures Dante that the engagement announcement was premature and arranged by her mother, the two trade banter and Dante becomes torn between her and Veronica. He finally decides to take Caitlin on a date and goes home to change. He returns to discover that Caitlin had sex with a dead man in the unlit bathroom, having mistaken the man for Dante (the man had earlier entered the bathroom with a pornographic magazine and had suffered a fatal heart attack while masturbating). An ambulance takes a catatonic Caitlin away along with the man's body.
Jay and Silent Bob, a pair of slackers who have spent all day loitering (and dealing marijuana) outside RST Video, enter the Quick Stop to shoplift. Dante turns down Jay's offer to party with them. Aware of Dante's problem, Silent Bob pauses before following Jay outside and offers the following wisdom: ""You know, there's a million fine-looking women in the world, dude. But they don't all bring you lasagna at work. Most of 'em just cheat on you."" Dante then realizes that he loves Veronica. When she returns to the Quick Stop, however, Randal complicates things by revealing that Dante asked Caitlin out. Veronica angrily breaks up with Dante, telling him that Randal informed her of the planned date with Caitlin.
When Randal enters the Quick Stop after closing RST, Dante attacks him and the two fight, making a mess of the store. Afterward, they lie on the floor exhausted. Dante claims that Randal does nothing for him but make his life miserable by getting him fined, offending his customers, and ruining his relationship. Randal loses his temper and verbally explodes, saying that Dante deserves the blame, as Dante, closed the store to play hockey, closed it again to go to the wake, and closed it yet again to try to hook up with his ex-girlfriend, cheating on his current one in the process. He then says that Dante came to work of his own free will and ""overcompensates for having a monkey's job"". He claims Dante thinks he is more advanced than the customers and storms off with ""if we're so fucking advanced, what are we doing working here?"" leaving Dante speechless on the floor.
They reconcile and Dante says he will try to talk to Veronica, visit Caitlin, and possibly get some direction in his life. The film ends with Randal walking out of the store, popping back in briefly to toss Dante's sign at him stating, ""You're closed!""[1]"
The Swan Princess,['Animation'],6.5,1994,"['princess', 'swan']","King William (Dakin Matthews), widowed father of newborn Princess Odette, and Queen Uberta (Sandy Duncan), widowed mother of young Prince Derek, decide to betroth their children in the hopes of uniting their kingdoms. However, the evil sorcerer Rothbart (Jack Palance), is planning to take William's kingdom for himself by mastering a type of dark magic known as The Forbidden Arts. Before he can strike, Rothbart is arrested by William's men. Despite calls for his death, King William spares Rothbart's life and banishes him. A hateful Rothbart swears to William that he will get his power back and take everything William owns and loves.
William and Uberta make Odette and Derek meet every summer, hoping they'll fall in love. When they meet for the first time, the royal children take an immediate dislike for each other, but as the years pass they gradually fall in love. But when Derek (Howard McGillin) only expresses love for Odette's (Michelle Nicastro) beauty, she and her father leave disappointed. On their journey home, they are ambushed by the vengeful Rothbart, who transforms into a ""Great Animal"" with his new powers, kidnapping Odette and fatally injuring William. Derek arrives on the scene and William tells him with his dying breath of a ""Great Animal"", and Odette is gone. After searching and finding no sign of Odette, the entire Kingdom assumes she's dead. Uberta encourages her son to find another princess, but Derek is determined to find Odette believing she still lives. He and his best friend Bromley (Joel McKinnon Miller) practice hunting every day in preparation to face the Great Animal.
Elsewhere, Rothbart is keeping Odette at his castle lair at Swan Lake. He has cast a powerful spell that turns Odette into a swan during the day. At night, she can become human temporarily if she is on the lake when the moonlight touches it. Every night, Rothbart asks Odette to marry him so he can rule William's kingdom legally, but she refuses. During her captivity, she befriends a turtle named Speed (Steven Wright), a French frog named Jean-Bob (John Cleese), who claims to be a prince, and an Irish puffin (Steve Vinovich).
Puffin and Odette (in her swan form), fly together to find Derek. By chance, they stumble upon Derek in the woods as he is searching for the Great Animal. Derek mistakes Odette for the Great Animal (having deduced that the creature is a shapeshifter), and tries to kill her. The ensuing chase leads Derek to Swan Lake, where he witnesses Odette's change from swan to human when the moon rises. The two share a loving reunion, and Odette tells Derek that the spell can only be broken by a vow of everlasting love. Derek invites Odette to his mother's ball the following night, hoping to declare to the world of his love for her. Derek leaves just as Rothbart arrives and doesn't know the enchanter heard the whole conversation. Rothbart tells Odette, she will never make it to the ball for there will be ""no moon"" on that night, much to her dismay and sorrow. Later, inside his castle, fearing that Derek's vow would ruin his plans, Rothbart decides to transform his hag sidekick, Bridget, such that she appears to be Odette, ensuring that if Derek made the vow to her as the wrong woman, Odette will die. On the night of the ball, Rothbart imprisons Odette (in swan form) in the dungeon of his castle, along with Bromley, whom he had found in the woods the other night. Bridget, in the form of human Odette, arrives at Uberta's ball where she is dancing with Derek, who is unaware of her true identity.
At Swan Lake, Puffin, Speed and Jean-Bob manage to free Odette from the dungeon through a duel with two hungry crocodiles and she flies to Uberta's castle, but is too late. Derek makes the vow of everlasting love to the wrong girl and Rothbart bursts in revealing to Derek the fake's true form, Bridget. Realizing his mistake, Derek races after Odette back to Swan Lake where Odette transforms back into her human form. As Derek holds a dying Odette in his arms, she tells him she loves him before losing consciousness. A furious Derek confronts Rothbart, demanding him to undo the spell, but the sorcerer declares to the prince ""Only if you defeat...me!"". Rothbart transforms into the Great Animal, and a battle ensues with Rothbart overpowering Derek. Odette's animal friends return Derek's bow to him, and Bromley, who has also escaped the dungeon, provides Derek with a single arrow. Derek catches and fires the arrow into the Great Animal's heart, killing him.
A heart-broken Derek confesses his love to Odette and she wakes up having managed to survive long enough for the sorcerer's defeat; the spell on her is broken. Derek and Odette get married and move into Rothbart's former castle where they lived happily ever after."
The Lion King,"['Family', 'Animation', 'Drama']",8.0,1994,"['loss of parents', 'wild boar', 'uncle', 'shaman', 'redemption', 'king', 'scar', 'hyena', 'meerkat']","In the Pride Lands of Africa, a lion rules over the animal kingdom from Pride Rock. King Mufasa's newborn son, Simba, is presented to the assembled animals by Rafiki the baboon (with the colorful facial marking of a mandrill)[3] who serves as shaman and advisor. Mufasa shows young Simba the Pride Lands and explains to him the responsibilities of kingship and the ""circle of life"" which connects all living things. Mufasa's younger brother, Scar, covets the throne and plots to eliminate Mufasa and Simba so he may become king. He tricks Simba and his best friend Nala—to whom Simba is betrothed—into exploring a forbidden elephants' graveyard, where they are attacked by three spotted hyenas who are in league with Scar. Mufasa is alerted to the danger by his majordomo, the hornbill Zazu, and rescues the cubs. Though angry with Simba, Mufasa forgives him and explains that the great kings of the past watch over them from the night sky, from which he will one day watch over Simba.
Scar sets a trap for his brother and nephew, luring Simba into a gorge and having the hyenas drive a large herd of wildebeest into a stampede that will trample him. He informs Mufasa of Simba's peril, knowing the king will rush to save his son. Mufasa saves Simba but ends up hanging perilously from the gorge's edge. Scar refuses to help Mufasa, instead sending him falling to his death. He then convinces Simba that the tragedy was Simba's own fault and advises him to flee the kingdom. He orders the hyenas to kill the cub, but Simba escapes. Scar tells the pride that both Mufasa and Simba were killed in the stampede and steps forward as the new king, allowing a large pack of hyenas to live in the Pride Lands.
Simba collapses in a desert and is rescued by Timon and Pumbaa, a meerkat and warthog who are fellow outcasts. Simba grows up in the jungle with his two new friends, living a carefree life under the motto ""hakuna matata"" (""no worries"" in Swahili). Now a young adult, Simba rescues Timon and Pumbaa from a hungry lioness who turns out to be Nala. She and Simba reunite and fall in love, and she urges him to return home, telling him the Pride Lands have become a drought-stricken wasteland under Scar's reign. Feeling guilty over his father's death, Simba refuses and storms off. He encounters Rafiki, who tells him that Mufasa's spirit lives on in Simba. Simba is visited by the ghost of Mufasa in the night sky, who tells him he must take his rightful place as king. Realizing he can no longer run from his past, Simba decides to return home.
Aided by his friends, Simba sneaks past the hyenas at Pride Rock and confronts Scar. Scar taunts him over his role in Mufasa's death and backs him to the edge of the rock, where he reveals to Simba that he murdered Mufasa. Enraged, Simba pins Scar to the ground and forces him to reveal the truth to the rest of the pride. Timon, Pumbaa, Rafiki, Zazu, and the lionesses fend off the hyenas while Scar, attempting to escape, is cornered by Simba at the top of Pride Rock. Scar begs for mercy and attempts to blame the hyenas for his actions; Simba spares his life but orders him to leave the Pride Lands forever. Scar attacks his nephew, but Simba manages to toss him from the top of the rock. Scar survives the fall but is killed by the hyenas, who overheard him betray them to Simba. With his enemies gone, Simba takes over the kingship as the rains begin to fall, restoring life to the land.
Later, with Pride Rock restored to its former glory, Rafiki presents Simba and Nala's newborn cub to the assembled animals, continuing the circle of life."
Jurassic Park,"['Adventure', 'Science Fiction']",7.6,1993,"['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park', 'jurassic park']","Industrialist John Hammond and his bioengineering company, InGen, have created a theme park called Jurassic Park on Isla Nublar, a Costa Rican island, populated with cloned dinosaurs. After one of the dinosaur handlers is killed by a Velociraptor, the park's investors, represented by lawyer Donald Gennaro, demand that experts visit the park and certify it is safe. Gennaro invites mathematician and chaos theorist Ian Malcolm, while Hammond invites paleontologist Dr. Alan Grant and paleobotanist Dr. Ellie Sattler. Upon arrival, the group is stunned to see a live Brachiosaurus.
At the park's visitor center, the group learns that the cloning was accomplished by extracting dinosaur DNA from mosquitoes that had been preserved in amber. DNA from frogs was used to fill in gaps in the dinosaur genomes. To prevent breeding, all the dinosaurs were made female. Malcolm scoffs at the idea of such controlled breeding, declaring it will inevitably break down. The crew witness the birth of a baby raptor and visit the raptor enclosure. During a luncheon, the group debates the ethics of cloning and the creation of the park, with Dr. Malcolm giving a harsh warning about the implications of genetic engineering as a whole.
The group is then joined by Hammond's grandchildren, Lex and Tim Murphy, for a tour of the park, while Hammond oversees the trip from the park's control room. The tour does not go as planned, with most of the dinosaurs failing to appear and the group encountering a sick Triceratops. The tour is cut short as a tropical storm approaches Isla Nublar. Most of the park employees evacuate on a boat to the mainland while the visitors return to their electric tour vehicles, except Sattler who stays with the park's veterinarian to study the Triceratops.
Jurassic Park's lead computer programmer, Dennis Nedry, has been bribed by Dodgson, a man working for Hammond's corporate rival, to steal valuable fertilized embryos. Nedry deactivates the park's security system to gain access to the embryo storage room where he stores the embryos inside a canister disguised as Barbasol shaving cream, supplied by Dodgson. Because of Nedry, the power goes out and the tour vehicles become stuck. Most of the park's electric fences are deactivated as well, allowing the Tyrannosaurus to escape and attack the tour group. Grant, Lex, and Tim escape, while the Tyrannosaurus injures Malcolm and devours Gennaro. On his way to deliver the embryos to the island's docks, Nedry becomes lost in the rain, crashes his Jeep Wrangler, and is killed by a Dilophosaurus.
Sattler assists the park's game warden, Robert Muldoon, in a search for survivors, but they only find an injured Malcolm, before the Tyrannosaurus returns. Grant, Tim, and Lex take shelter in a treetop. Later, they discover the broken shells of dinosaur eggs. Grant concludes that the dinosaurs have been breeding, which occurred because of their frog DNA—West African bullfrogs can change their sex in a single-sex environment, allowing the dinosaurs to do so as well, proving Malcolm right.
Unable to decipher Nedry's code to reactivate the security system, Hammond and the park's chief engineer Ray Arnold opt to reboot the entire park's system. The group shuts down the park's grid and retreats to an emergency bunker, while Arnold heads to a maintenance shed to complete the rebooting process. When Arnold fails to return, Sattler and Muldoon head to the shed. They discover the shutdown has deactivated the remaining fences and released the raptors. Muldoon distracts the raptors, while Sattler goes to turn the power back on, before being attacked by a raptor and discovering Arnold's severed arm. Meanwhile, Muldoon is caught off-guard and killed by the other two raptors.
Grant, Tim and Lex finally reach the visitor center. Grant heads out to look for Sattler, leaving Tim and Lex inside. Tim and Lex are pursued by the raptors in an industrial kitchen, but they escape and join Grant and Sattler. Lex restores full power from the control room, allowing the group to call Hammond, who in turn calls for help. The group is cornered by the raptors, but they are able to escape when the Tyrannosaurus suddenly appears and kills the raptors. Hammond arrives in a Jeep with Malcolm, and the entire group boards a helicopter to leave the island."
Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",7.9,1982,"['artificial intelligence', 'bounty hunter', 'dystopia', 'genetics', 'fugitive', 'cyberpunk', 'los angeles', 'tech noir', 'neo-noir', 'futurista', 'lluvia']","In 2019 Los Angeles, former police officer Rick Deckard is detained by officer Gaff, and brought to his former supervisor, Bryant. Deckard, whose job as a ""blade runner"" was to track down bioengineered beings known as replicants and ""retire"" (kill) them, is informed that four are on Earth illegally. Deckard starts to leave, but Bryant ambiguously threatens him, and he stays. The two watch a video of a blade runner named Holden administering the ""Voigt-Kampff"" test, which is designed to distinguish replicants from humans based on their emotional response to questions. The test subject, Leon, shoots Holden on the second question. Bryant wants Deckard to retire Leon and the other three Tyrell Corporation Nexus-6 replicants: Roy Batty, Zhora, and Pris.
Bryant has Deckard meet with Eldon Tyrell so he can administer the test on a Nexus-6 to see if it works. Tyrell expresses his interest in seeing the test fail first and asks him to administer it on his assistant Rachael. After a much longer than standard test, Deckard concludes that Rachael is a replicant who believes she is human. Tyrell explains that she is an experiment who has been given false memories to provide an emotional ""cushion.""
Searching Leon's hotel room, Deckard finds photos and a synthetic snake scale. Roy and Leon investigate a replicant eye-manufacturing laboratory and learn of J. F. Sebastian, a gifted genetic designer who works closely with Tyrell. Deckard returns to his apartment where Rachael is waiting. She tries to prove her humanity by showing him a family photo, but after Deckard reveals that her memories are implants from Tyrell's niece, she leaves his apartment. Meanwhile, Pris locates Sebastian and manipulates him to gain his trust.
A photograph from Leon's apartment and the snake scale lead Deckard to a strip club, where Zhora works. After a confrontation and chase, Deckard kills Zhora. Bryant orders him also to retire Rachael, who has disappeared from the Tyrell Corporation. After Deckard spots Rachael in a crowd, he is attacked by Leon, who knocks Deckard's pistol out of his hand, and attempts to kill Deckard, but Rachael uses Deckard's pistol to kill Leon. They return to Deckard's apartment, and, during an intimate discussion, he promises not to track her down; as she abruptly tries to leave, Deckard restrains her, making her kiss him.
Arriving at Sebastian's apartment, Roy tells Pris that the others are dead. Sympathetic to their plight, Sebastian reveals that because of ""Methuselah Syndrome"", a genetic premature aging disorder, his life will also be cut short. Sebastian and Roy gain entrance into Tyrell's secure penthouse, where Roy demands more life from his maker. Tyrell tells him that it is impossible. Roy confesses that he has done ""questionable things"", but Tyrell dismisses this, praising Roy's advanced design, and accomplishments in his short life. Roy kisses Tyrell, then kills him. Sebastian runs for the elevator, followed by Roy, who rides the elevator down alone.[nb 1] Deckard is later told by Bryant that Sebastian was found dead.
At Sebastian's apartment, Deckard is ambushed by Pris, but he kills her as Roy returns. Roy's body begins to fail as the end of his lifespan nears. He chases Deckard through the building, ending on the roof. Deckard tries to jump to an adjacent roof, but is left hanging between buildings. Roy makes the jump with ease, and as Deckard's grip loosens, Roy hoists him onto the roof, saving him. Before Roy dies, he delivers a monologue about how his memories ""will be lost in time, like tears in rain"". Gaff arrives and shouts to Deckard about Rachael: ""It's too bad she won't live, but then again, who does?"" Deckard returns to his apartment and finds Rachael asleep in his bed. As they leave, Deckard notices an origami unicorn on the floor, a calling card that recalls for him Gaff's earlier statement. Deckard and Rachael leave the apartment block."
